PnL,EV,ExpROI,RoI,cum_PnL,cum_EV,rolling_PnL,rolling_EV
-2639.3799975506217,1548.3536002222659,22.19458,-52.36699999590218,-505975.8013366519,46533.87158443928,-36141.1286669037,3323.8479703170915
-47653.645,3585.8896057095094,28.24885,-217.4167,-553629.4463366519,50119.76119014879,-37652.3111669037,3625.880564227078
-34411.19999975,1312.791314081758,19.90463,-51.247999999499996,-588040.6463364019,51432.552504230545,-40971.38152402871,3516.220359333939
-1950.0352999999986,8379.758718416198,22.89658,-77.05949,-589990.6816364019,59812.31122264674,-37545.33089076083,3764.3920645485455
-24540.864999999998,805.8317188162007,21.10667,-78.3667,-614531.5466364019,60618.142941462946,-35512.10867648576,3648.6252626604137
-15587.999999701977,1576.9860356189874,21.72828,-112.99999999850988,-630119.5466361039,62195.128977081935,-30743.703303357328,3432.0445311672747
-22005.209999868,6476.647165327855,24.13644,10.350600006,-652124.7566359718,68671.77614240978,-28581.670429062186,3584.586106388669
-80394.2088,5271.096032145845,24.64659,-184.067086,-732518.9654359719,73942.87217455562,-33449.58320049076,3882.3386444022085
-32404.194898872636,3719.8716402980867,16.83604,-99.62428324620721,-764923.1603348445,77662.74381485372,-31553.33349969595,3958.2780704030843
-4456.191920763013,5335.561849776821,22.37227,-32.42857448386248,-769379.3522556075,82998.30566463053,-27668.19399403616,3792.7500292361356
-56679.29999968,3948.899546561256,34.40279,-247.72499999590218,-826058.6522552875,86947.20521119179,-28346.352208299013,3788.2966425621066
-4077.21,2986.169050568488,14.08414,-12.096699999999998,-830135.8622552875,89933.37426176027,-28404.233279727585,3907.684228109991
-7345.646983999999,7466.474311013196,18.44589,-5.118969999999999,-837481.5092392875,97399.84857277347,-28274.145564299015,4171.225107646732
-8724.414999605491,3667.2136012604524,19.63925,53.67500000074506,-846205.924238893,101067.06217403391,-24490.67877855655,4005.8245849869227
6297.555000372529,-158.78808748537566,27.30938,-103.40662999850989,-839908.3692385204,100908.27408654854,-23852.3262787049,3883.885893007806
22834.327,1214.43988911546,23.89738,287.1666,-817074.0422385203,102122.713975664,-18817.471135847758,3714.496627536802
-55787.22903933242,-1489.1534186744293,29.85007,-207.0574299910593,-872861.2712778528,100633.56055698957,-20344.330352960787,3514.3577180542175
-64716.362999850986,17378.644970114543,32.88277,-93.10699999925494,-937577.6342777038,118012.20552710412,-24827.639474378713,4157.1353074612425
11793.142000121072,206.8810707130912,13.8296,31.659900001490115,-925784.4922775828,118219.08659781721,-22232.35326008435,4114.35311831102
17958.490000620634,5686.775728744049,29.70463,14.704799843032953,-907826.0022769622,123905.86232656126,-19836.175402918452,4407.90952496281
-34465.785,9412.44752168611,33.199130000000004,-209.075,-942291.7872769622,133318.30984824736,-20726.21647435645,4617.609550416971
-26642.117545454545,4222.62947970625,28.45217,-115.21519889809012,-968933.9048224167,137540.93932795362,-16886.78138474606,4542.719082385572
-87757.5,-2054.092471933362,314.45397,-288.05625,-1056691.4048224166,135486.84685602025,-20840.588891969444,4130.2930743690395
-36585.216,10020.741463801665,276.7325,-90.275,-1093276.6208224166,145507.58831982192,-23135.519183343516,4464.9487610851
-157491.6054712025,1490.0133009949982,473.3281,-593.5223514039191,-1250768.226293619,146997.60162081692,-30336.39814559512,4289.314029258939
-35610.43149821186,5107.800894371767,208.99455,-151.47039999403952,-1286378.6577918308,152105.40251518867,-32588.77110975311,4440.859160959173
-5222.11039987632,6638.776587036888,295.7168,-236.07709999813736,-1291600.768191707,158744.17910222555,-32437.089925172848,4381.737894960866
-33181.399666666664,-1278.3289396798266,148.96582,-140.26230627811861,-1324782.1678583738,157465.8501625457,-34184.01740139151,4028.4848563222736
-1474.9709976761637,1598.844493982242,100.43722,-122.79001998137355,-1326257.13885605,159064.69465652795,-34739.197829823555,4154.030040712818
-30241.48612200789,3387.5606772796414,349.36773,-65.12667497802079,-1356498.624978058,162452.25533380758,-38530.3273385384,4309.252954153117
10444.588134615384,9137.264065981117,518.892697,58.73905076923077,-1346054.0368434426,171589.5193997887,-33799.48325468499,5068.282774485656
-125399.03029964979,4480.703876717634,476.75801,-398.62254849402456,-1471453.0671430924,176070.22327650632,-38133.9594903849,4147.001267814448
17468.913503874304,6487.096931500761,130.38307,30.49228644045603,-1453984.153639218,182557.3202080071,-37728.547240116815,4595.5881150135665
10037.882824175824,2421.1347756223263,180.45374,91.94248194008372,-1443946.2708150423,184978.45498362943,-38294.30489557715,4362.328046933444
-32492.052748846156,5879.701768224609,296.12675,-75.87624999403954,-1476438.3235638884,190858.15675185405,-38153.32402049474,4109.989064543336
-50041.49046292549,10434.969521479277,262.62502,-44.75533499850988,-1526479.814026814,201293.12627333333,-39824.7078003141,4553.7276389556955
-81184.2549461598,588.1056350599215,242.08725,-300.65458127516496,-1607664.0689729739,201881.23190839324,-39355.19029646837,4742.456075169502
-39005.07029420509,9888.53076692921,349.12292,-133.1366363798337,-1646669.139267179,211769.76267532245,-39528.03703176873,4733.012453964327
-130160.60999722205,7912.388887947281,444.54391,-472.94939998807905,-1776829.749264401,219682.15156326973,-37575.82306934155,5191.753567318061
-13451.01,-131.59276616264663,60.47461,-86.392,-1790280.759264401,219550.55879710708,-35993.0072480407,4817.511162994174
-39575.5825,893.7598842613806,206.81225,-125.343015,-1829856.341764401,220444.31868136846,-38446.82668376383,4407.152827081637
10760.363000156465,9643.936046117986,282.73589,-84.10499999701976,-1819095.9787642446,230088.25472748643,-35308.129350419316,5187.314611781481
-62209.0149964715,2964.4394083948278,241.12593,-251.5691999895,-1881304.9937607162,233052.69413588126,-39646.275350333264,5284.857105668095
-148811.26324997318,11581.964586811548,457.59207,-232.11299999910594,-2030116.2570106895,244634.6587226928,-48115.54514518794,5870.171670634659
-35549.8265985069,7647.742622151412,296.934343,-38.921499996274704,-2065666.0836091964,252282.40134484423,-51400.8604832681,5763.777281789681
85331.10090323036,14258.098823665228,467.459085,321.9542498768069,-1980334.982705966,266540.50016850943,-36348.70825449094,6462.1626351430805
-25172.173636043633,2740.0288140883276,233.34804,-81.34602272354745,-2005507.1563420098,269280.52898259775,-39394.50019305651,6194.514912470763
-49983.55,7315.957034580782,337.164598,-211.56204,-2055490.7063420098,276596.4860171785,-43681.745394783364,6544.145073824939
-13131.6099998325,1283.2693678853757,221.913851,-146.3013749975,-2068622.3163418423,277879.7553850639,-42298.85662699666,6215.828473800708
-10708.32375,2085.8544399276566,429.62071,-203.7624,-2079330.6400918423,279965.60982499155,-39489.34471893056,5619.463110832736
7744.338000000001,8859.547045596375,285.870064,44.036,-2071586.3020918423,288825.1568705879,-33137.30236563343,6210.280354442481
-132676.31673001818,7974.72667223483,427.927092,-379.45742646464646,-2204262.6188218603,296799.88354282273,-39828.105682477224,6073.580061964312
-125815.0205,21246.61735101906,317.581197,-290.104423,-2330077.6393218604,318046.5008938418,-39517.706432675644,7026.024952183725
-28341.87,3084.5401861896185,138.85225,-189.85,-2358419.5093218605,321131.0410800314,-40581.3392898185,7255.7487344946
-15642.793812498125,3953.1050923065563,223.050037,-148.10630583484544,-2374062.3031343585,325084.146172338,-38871.85438356838,7474.273392212113
11563.451805,6289.42539994377,299.9006,-43.01119588014981,-2362498.8513293583,331373.57157228177,-38814.49089750811,7234.6654889139545
-27337.3374,6290.562020028351,284.597417,35.084175,-2389836.1887293584,337664.1335923101,-36323.65678347444,7472.245675459207
-87596.86847,-2268.9438777804194,323.779931,-337.694434,-2477433.0571993585,335395.1897145297,-31951.20001347636,6482.895070845495
-161770.47548,-5593.667233752237,378.11088,-263.352675,-2639203.5326793585,329801.52248077746,-40966.96064786873,5537.0800811380905
-62835.49071428571,4240.347891566125,483.605495,-218.56189642857143,-2702039.023393644,334041.8703723436,-51550.28862054844,4821.5264431310125
-18634.885000000002,4707.2619922082595,82.40556,-82.145,-2720673.908393644,338749.1323645518,-51083.33943225961,4962.043098711008
-35611.104,2234.3166307406536,166.384156,-170.9795,-2756285.0123936436,340983.4489952925,-50056.73614654532,4599.068784150998
-90818.56881955556,46454.16642396153,846.7823595,10.630156944444437,-2847103.581213199,387437.615419254,-55605.80463366839,7825.56143101358
-82158.24944666667,3151.2663858687943,474.9971351,-309.0262797435897,-2929261.830659866,390588.8818051228,-60709.37075485887,7901.66228429509
-107467.49336473279,13093.23712378022,439.4735069,-232.9783189702905,-3036729.3240245986,403682.118928903,-68938.78728091122,8204.068718451079
-17709.784588808594,12532.722012769344,388.9698105,-62.53549453345455,-3054439.1086134072,416214.84094167233,-60726.89212796767,8529.639814203545
-162775.425,13663.844001188127,400.932397,-374.9095,-3217214.533613407,429878.68494286045,-63366.92102082482,7988.013146358478
-31701.193822999998,5056.536495165192,180.7740959,17.886540000000004,-3248915.727436407,434935.22143802565,-63606.87272246768,8128.870025571019
-42357.16443409091,13853.150044650525,294.6148539,-153.76261222977743,-3291272.8918704977,448788.3714826762,-65515.04205258144,8836.016093595588
-49232.70324985,18593.698762214604,361.2602581,-259.70684545404544,-3340505.5951203476,467382.0702448908,-69857.6245564993,9714.89276232922
-17544.1802,2930.8984220981993,18.2883872,-86.6532,-3358049.7753203474,470312.968666989,-69158.11332792787,9474.916791048494
